"entrez_ID","ensembl_ID_CPF","merged_symbol_CPF","merged_description_CPF","logFC_CPF","logFC_T3IOP","FC_CPF","FC_T3IOP","rank"
"118470957",NA,"LOC118470957","uncharacterized LOC118470957",-3.22205797837045,-8.99440345382911,-9.33116994757571,-510.017681558673,4
"129348303",NA,"LOC129348303","uncharacterized LOC129348303",-3.18867873073966,-9.73232023825669,-9.11775555090416,-850.590091107494,6
"111573059",NA,"LOC111573059","tyrosinase-like.1",-3.20106657394275,-6.70953302137165,-9.19638314655904,-104.65758193122,7
"111580793","ENSAOCG00000000097","spp2","secreted phosphoprotein 2",-4.03499997089841,-3.47399976497452,-16.3929088378522,-11.1116392759541,8
"118471637",NA,"LOC118471637","uncharacterized LOC118471637",-2.04558795303978,-4.1819739350624,-4.12841486031512,-18.150959825562,16
"111569895",NA,"LOC111569895","E3 ubiquitin-protein ligase TRIM35-like.1",-2.18792407746303,-3.01944259169443,-4.55649371485331,-8.10854236798258,19
"111588653",NA,"LOC111588653","calpain-1 catalytic subunit-like.5",-1.60678535994693,-8.06127884759514,-3.04572431152134,-267.107902217554,26
"111576308","ENSAOCG00000018839","LOC111576308_sc5d","lathosterol oxidase-like.1",-3.18894190321878,-1.96026557949227,-9.11941893861714,-3.89133606295007,27
"111579104","ENSAOCG00000023870","afp4","antifreeze protein type IV",-1.76026390148649,-2.1951626853408,-3.38760086143799,-4.57941301026293,32
"111563628","ENSAOCG00000012585","thrsp","thyroid hormone responsive",-1.73441306077903,-2.49677436256095,-3.32744094311639,-5.6442205487615,32
"111569195","ENSAOCG00000018464","LOC111569195_ENSAOCG00000018464","matrix metalloproteinase-20-like",-2.43098952901885,-1.62136564498308,-5.39263178745643,-3.07666133059332,34
"111574812",NA,"LOC111574812","hemoglobin embryonic subunit alpha-like",-1.47987078549491,-3.32305208310293,-2.78923750437675,-10.0077939283147,36
"111578170","ENSAOCG00000008662","fgfbp1a_FGFBP1","fibroblast growth factor binding protein 1a",-1.7444202367614,-2.10432143152381,-3.3506017910489,-4.29995461181778,37
"111567289","ENSAOCG00000000094","si:ch211-28p3.4_ENSAOCG00000000094","E3 ubiquitin-protein ligase TRIM39",-2.03487739480629,-1.67276069253326,-4.09787902545888,-3.18824101187699,39
"111563547",NA,"gjd4","gap junction protein delta 4",-2.04246207663909,-1.55735780996064,-4.11947953869818,-2.94314334479531,42
"111584886",NA,"LOC111584886","keratin, type I cytoskeletal 13-like",-1.30241178494558,-2.9801683387098,-2.46640853147307,-7.89078230634594,44
"129347655",NA,"LOC129347655","keratin, type I cytoskeletal 13-like.3",-1.35045721952114,-2.91027524615477,-2.54992925125077,-7.51761611353327,45
