"logFC","FC","P.Value","adj.P.Val","entrez_ID","ensembl_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
-3.35677559724238,-10.2444852970618,9.94684568213992e-10,8.13036669077532e-09,"111573140","ENSAOCG00000004145","LOC111573140_steap4","metalloreductase STEAP4-like","metalloreductase STEAP4-like.1",1.74424237435683,-4.84107070441234,-1.87248049007242,-6.75282137418381
-2.77927264411384,-6.86506149732275,0.000691532053973159,0.00160532629645116,"111580459","ENSAOCG00000016549","LOC111580459_ENSAOCG00000016549","interferon-inducible GTPase 5-like.1","interferon-inducible GTPase 5-like.2",-1.47170811099257,-5.14829309286121,-0.410252195366479,-3.50304367261388
-2.74920833095352,-6.72348084538467,5.23080994847717e-15,2.06037720378255e-13,"111565075","ENSAOCG00000020923","LOC111565075_cyp51","lanosterol 14-alpha demethylase","lanosterol 14-alpha demethylase",4.27115331603251,-3.63887199289006,-1.85954466901699,-9.22709532671513
-2.74705624017507,-6.71345880062783,1.2207631079015e-18,2.22820303542225e-16,"111579121","ENSAOCG00000023650","LOC111579121_INHBC","inhibin beta B chain","inhibin beta B chain-like.1",3.40328149251871,-3.50009665384436,-1.99401582650578,-10.8926230558511
-2.63591122136492,-6.21567564658087,0.0112722785949738,0.0202015590263393,"111564454",NA,"LOC111564454","kunitz-type protease inhibitor 2-like",NA,1.885940790574,-5.68373782516807,0.411915382438222,-2.5824013005338
-2.60038360607633,-6.06447856906103,1.88914653185497e-17,2.09734216510785e-15,"111582504","ENSAOCG00000002189","gpx7","glutathione peroxidase 7","glutathione peroxidase 7",2.36462096586089,-3.35087940013531,-1.84988781201735,-10.3459974041486
-2.59272868859805,-6.03238575724432,4.21906579662224e-17,4.03755265439442e-15,"111582860","ENSAOCG00000017280","lss","lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)","lanosterol synthase",3.38557072801477,-3.35276736957344,-1.83269000762267,-10.1860214413486
-2.5835738271087,-5.99422744745079,1.16316880236411e-13,3.00748255285934e-12,"111573670","ENSAOCG00000003991","tecra_TECR","trans-2,3-enoyl-CoA reductase a","very-long-chain enoyl-CoA reductase-like",4.32830315105229,-3.47979764901054,-1.68735000520686,-8.60770949270872
-2.25193089162362,-4.7631992239099,4.05008298280611e-12,6.43758836163178e-11,"111575532","ENSAOCG00000003586","comtd1","catechol-O-methyltransferase domain containing 1","catechol O-methyltransferase domain-containing protein 1-like",2.90584561010226,-3.1039680751931,-1.39989370805415,-7.89186629591793
-2.24361573075117,-4.73582486808183,8.57237723874023e-16,4.57009556851453e-14,"111570460","ENSAOCG00000014828","ptges3l","prostaglandin E synthase 3 like","putative protein PTGES3L",2.72003465271509,-2.9424080033903,-1.54482345811203,-9.58701906255061
-2.24221754339863,-4.73123736855015,9.06157168489833e-17,7.47770616664139e-15,"111580686","ENSAOCG00000006829","ebp","EBP cholestenol delta-isomerase","EBP cholestenol delta-isomerase",4.20640129912914,-2.90947038237716,-1.5749647044201,-10.0339174648816
-2.23440831225696,-4.70569662127922,1.94543542699358e-15,9.0498462692414e-14,"111574454","ENSAOCG00000018620","igfbp2b","insulin-like growth factor binding protein 2b","insulin-like growth factor-binding protein 2-B",4.13093964635076,-2.94237200747299,-1.52644461704094,-9.42398875749102
-2.22559554037231,-4.67703926419766,1.75873694380184e-19,4.25614340400045e-17,"111581125","ENSAOCG00000011201","dhcr24","24-dehydrocholesterol reductase","24-dehydrocholesterol reductase",5.22535795181319,-2.81468966881214,-1.63650141193247,-11.2809261650297
-2.21909088968282,-4.65599945599657,7.80256302736146e-11,8.51110325170821e-10,"111564015",NA,"LOC111564015","uncharacterized protein C14orf93 homolog",NA,0.0644967545090246,-3.12858149053115,-1.30960028883448,-7.2855120976366
-2.20962746217842,-4.62555815338917,0.011286322149122,0.0202233616013136,"129349121",NA,"LOC129349121","uncharacterized LOC129349121",NA,-0.405721192439701,-4.76500911176234,0.345754187405496,-2.58194207930497
-2.2095155328264,-4.62519930025056,0.00420426919416569,0.00829758543974532,"111571739","ENSAOCG00000017399","LOC111571739_ENSAOCG00000017399","complement C1q-like protein 2","complement C1q-like protein 2",-1.60054120385808,-4.46107632133494,0.0420452556821473,-2.93019545705663
-2.2012331319922,-4.5987224616577,2.50295450658943e-13,5.8216667562552e-12,"111567924","ENSAOCG00000022872","igfals","insulin-like growth factor binding protein, acid labile subunit","insulin like growth factor binding protein acid labile subunit",3.99759844166071,-2.97871085559248,-1.42375540839191,-8.45398153660306
