"logFC","FC","P.Value","adj.P.Val","entrez_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
-5.74394504516698,-53.5919737475791,3.7173276270226e-42,1.33439670718021e-38,"111564448","LOC111564448_ENSAOCG00000003252","acidic mammalian chitinase-like.1","CHIO1, chitinase O-1, chia2/9-like",5.12466778820676,-6.5234079774,-4.96448211293396,-23.3915345267373
-5.02921523556133,-32.6546204728587,7.75568697141005e-15,3.6392589540355e-13,"111582289","LOC111582289","hatching enzyme 1.2-like",NA,0.526881520848851,-6.77418524164002,-3.28424522948263,-9.1486320324082
-4.51003998878302,-22.7854346900357,7.61667121632844e-25,1.95295076972955e-22,"118469143","LOC118469143","uncharacterized LOC118469143",NA,2.83034179856855,-5.54632850776813,-3.47375146979791,-13.8147684461591
-3.83751108028565,-14.2957170536578,0.00331014871100105,0.00929759819216752,"111564199","LOC111564199","meprin A subunit beta-like",NA,-0.671234958284245,-7.88408042259018,0.209058262018884,-3.01027768730243
-3.72738717010773,-13.2451031139376,8.50553462545382e-19,8.21489707457509e-17,"111570504","cdh27_ENSAOCG00000012441","cadherin 27","cadherin-like protein 26.1",1.02686908968989,-4.80644056092286,-2.64833377929259,-10.9649202216668
-3.35237012773513,-10.2132500544461,2.34639355002249e-40,7.21951775434061e-37,"111581802","slc34a2a","solute carrier family 34 member 2a","sodium-dependent phosphate transport protein 2B-like.1",3.84601292094705,-3.83045614943794,-2.87428410603233,-22.2581887089756
-3.31718635759944,-9.9671867352549,5.9133278444941e-52,6.36806275573569e-48,"111564810","LOC111564810","calphotin-like",NA,6.57745583570189,-3.66454672890193,-2.96982598629695,-30.3133200098416
-3.13074743574313,-8.75888626468265,1.88296934333352e-31,1.3984618523006e-28,"118471364","LOC118471364","uncharacterized LOC118471364",NA,3.13347662869899,-3.70985684871523,-2.55163802277103,-17.1605543637922
-3.05282676366253,-8.29836297955213,4.36655547911914e-06,2.79485503445076e-05,"111583609","LOC111583609_ENSAOCG00000010276","collagenase 3","collagenase 3-like.2",-0.462601926972231,-5.04597348447369,-1.05968004285137,-4.86190865354693
-2.73436816183183,-6.65467477902545,0.000546032669244041,0.00193587681155196,"111574807","LOC111574807_HBE1","hemoglobin subunit beta-like","hemoglobin subunit beta-3, MN-cluster",3.07801971939794,-5.16334923720636,-0.305387086457298,-3.57335991622578
-2.72996912441342,-6.63441437973265,3.97405988918511e-08,4.30494759520213e-07,"111572514","hamp_ENSAOCG00000002307","hepcidin antimicrobial peptide","hepcidin-like",3.41402726827603,-4.18535406625084,-1.274584182576,-5.95420471184882
-2.72612002784968,-6.61673741712235,8.48726062714079e-34,8.70469616130278e-31,"118471766","LOC118471766","collagen alpha-1(XVII) chain-like",NA,6.42664075697752,-3.19566414890976,-2.2565759067896,-18.4294540539626
-2.5531881768886,-5.86929888451677,2.70867720049144e-21,3.81303853229965e-19,"111579847","ucp2","uncoupling protein 2","mitochondrial uncoupling protein 2-like.2",3.82097950919867,-3.22164797278507,-1.88472838099212,-12.1241537917709
-2.53898116455819,-5.81178432068357,5.51317530407453e-05,0.000261490353884953,"111578762","hhipl2","HHIP-like 2","HHIP like 2",-1.29444046726616,-4.4509739683468,-0.626988360769569,-4.21518975174804
-2.53362082549887,-5.79023067945504,1.02153987902301e-14,4.75203583464311e-13,"111588109","tg","thyroglobulin",NA,6.71863608982478,-3.41801016640377,-1.64923148459397,-9.09372935081776
