"logFC","FC","P.Value","adj.P.Val","entrez_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
7.16347923519322,143.358062595485,5.95196349033318e-06,5.89666005771831e-05,"111574509","LOC111574509","retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like.2",NA,-1.65778361924323,2.37452904429918,11.9524294260873,4.78562234632838
6.12620297739431,69.8507149614254,6.90108627691319e-11,2.55387622392021e-09,"111574501","LOC111574501_ENSAOCG00000024742","retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like.1","retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like.3",-0.0662477715862139,3.44534213026245,8.80706382452618,7.31091689666231
4.19070555121959,18.2611479001792,0.000117804468105394,0.000755140664897018,"111564372","LOC111564372_PDE6C","cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'-like","cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'-like",-1.80194580456145,0.847143113634139,7.53426798880504,4.00988988849524
3.92797382352061,15.2208162499862,1.55782407564182e-11,6.86143454829722e-10,"111564199","LOC111564199","meprin A subunit beta-like",NA,-0.671234958284245,2.27817450720112,5.5777731398401,7.61714465020656
3.74384731164701,13.3970858378041,5.8715466488688e-09,1.33821557379192e-07,"118469264","LOC118469264","uncharacterized LOC118469264",NA,-2.1822420948693,1.86442016525252,5.62327445804151,6.37305065000912
2.99957502428421,7.99764378129991,1.20138470191291e-09,3.27537008984814e-08,"111575257","rdh20_ENSAOCG00000012261","retinol dehydrogenase 20","retinol dehydrogenase 10-A-like",-0.97690083274672,1.56998622931084,4.42916381925758,6.71279416543863
2.98274968341128,7.90491354120458,1.13045387479799e-11,5.13664885135002e-10,"111587724","LOC111587724_ENSAOCG00000002855","platelet factor 4-like","platelet factor 4-like",-2.07555950043997,1.7406516760205,4.22484769080206,7.68273194255434
2.92468165736723,7.59306131074901,6.29340576950117e-20,2.29741310955112e-17,"111564949","zgc:162608","uncharacterized LOC111564949","zgc162608 (apolipoprotein domain)",3.27428637391694,2.11015895859427,3.73920435614019,11.4876222766575
2.8967142360363,7.44728328083713,4.4958497185312e-10,1.35428826905909e-08,"111587069","LOC111587069_ENSAOCG00000000644","cyclic nucleotide-gated cation channel beta-3","cyclic nucleotide-gated cation channel beta-3-like",-2.01018251101551,1.55755213229422,4.23587633977838,6.92033694010832
2.76498840784945,6.79742537512506,3.18424122207121e-12,1.68093596669043e-10,"111574470","hpxa","hemopexin a","hemopexin-like.1",5.5560752205167,1.65097876596466,3.87899804973424,7.94070573765447
