"logFC","FC","P.Value","adj.P.Val","entrez_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
4.9763648360917,31.4800261921709,5.93502655317231e-11,1.25815553053371e-09,"111586982","LOC111586982_ENSAOCG00000011906","alpha-1-antitrypsin homolog.2","alpha-1-antitrypsin homolog.1",0.861898131563824,2.82488945411277,7.12784021807063,7.34209053600171
4.68077210652111,25.647958773734,1.12862482855554e-26,3.98497074711954e-24,"118470600","LOC118470600","uncharacterized LOC118470600",NA,-0.187156082427832,3.67081675911114,5.69072745393107,14.7115769620959
4.62316641629338,24.6440321249747,2.14881434457753e-36,4.62811633535108e-33,"111582738","LOC111582738_ENSAOCG00000021476","nuclear factor interleukin-3-regulated protein-like","nuclear factor interleukin-3-regulated protein-like.1",2.57742586860217,3.8854459950809,5.36088683750586,19.8926034427573
4.3317935560147,20.1372330110668,1.69552666879021e-54,3.65182533924036e-50,"111574400","LOC111574400_ENSAOCG00000020520","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2-like","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2-like",3.4290413924764,3.90670845077842,4.75687866125097,32.3471309824099
3.90900253555685,15.0219743583555,1.0294929219626e-45,7.39107285107682e-42,"111586185","dio3a","iodothyronine deiodinase 3a",NA,2.7162595718637,3.42712678656653,4.39087828454717,25.7498548735013
3.70578288639383,13.0482360946374,7.53885768925298e-34,8.11859584555653e-31,"111573140","LOC111573140_steap4","metalloreductase STEAP4-like","metalloreductase STEAP4-like.1",1.74424237435683,3.06848401162658,4.34308176116108,18.4578334829492
3.66611000064192,12.694309352529,3.98008708786547e-06,2.57426773869208e-05,"129349221","LOC129349221","dehydrogenase/reductase SDR family member 11-like.3",NA,2.50844412451427,1.28368112238284,6.04853887890099,4.88460501509488
3.42036987402438,10.7061649023726,2.20041062661229e-26,7.18067334484478e-24,"111576124","LOC111576124_gstr","glutathione S-transferase A-like.6","glutathione S-transferase A-like.3",0.0599832949828272,2.67509765788216,4.16564209016659,14.5680708729609
3.32208345188774,10.0010769106506,4.11864981075605e-15,2.02067151763243e-13,"118470363","LOC118470363","zinc finger protein 853-like.1",NA,-2.47312154345073,2.18509864159812,4.45906826217736,9.27469804301045
3.20110885998055,9.19665270061832,6.45612381513189e-16,3.7888826901992e-14,"111573770","LOC111573770_ENSAOCG00000024278","lactose-binding lectin l-2-like","lactose-binding lectin l-2-like.1",0.484408936862504,2.14741631890299,4.25480140105812,9.64340578121996
3.15870060997243,8.93025028592973,3.17313710935006e-30,2.13571959566192e-27,"111581053","LOC111581053_ENSAOCG00000014793","proproteinase E-like","proelastase3/proproteinaseE, typeA",1.54962243152259,2.55160012387966,3.76580109606519,16.5155023327806
3.06325931849049,8.35858838972516,2.35769383500198e-15,1.20797460555693e-13,"111567820","gck","glucokinase (hexokinase 4)","glucokinase",0.77432744939266,2.02726100104127,4.09925763593972,9.38574211438651
3.05366418266098,8.30318120090728,0.00202576712356532,0.00608945880074667,"118470592","LOC118470592","GTPase IMAP family member 1-like.1",NA,0.367642619436467,-0.00377654054569465,6.11110490586765,3.17034943976916
3.03821688787305,8.21475123935111,2.07962957790845e-08,2.42927501974466e-07,"111583234","LOC111583234","immunoglobulin A1 protease-like",NA,0.34105243332397,1.45652410769614,4.61990966804996,6.09734185800278
3.03531979006833,8.19827162474727,0.000254251351465376,0.000994202180076483,"111565629","LOC111565629_ENSAOCG00000018101","cytochrome P450 2F2-like.5","cytochrome P450 2F2-like.9",-0.169688687368825,0.496440884399771,5.57419869573689,3.79495272581893
3.02571550038446,8.14387546664914,7.18887833219325e-14,2.76489395569247e-12,"118470365","LOC118470365","uncharacterized LOC118470365",NA,-2.38850609318639,1.92227305132692,4.129157949442,8.70406863576382
3.01683640619499,8.09390775086838,3.82493523019943e-17,2.79259169450967e-15,"111572368","LOC111572368_ENSAOCG00000014217","protein-glutamine gamma-glutamyltransferase E-like","protein-glutamine gamma-glutamyltransferase E-like",2.35680325098645,2.07849775173906,3.95517506065092,10.2055415940383
2.96049637130661,7.78391724052709,1.20158968844664e-13,4.39386056192934e-12,"129348135","LOC129348135","uncharacterized LOC129348135",NA,0.353707853122424,1.86792574226829,4.05306700034492,8.60119741353068
2.94075490883083,7.67812958419902,3.49305708825495e-14,1.4665392508155e-12,"111583999","LOC111583999_ENSAOCG00000022494","uncharacterized LOC111583999","uncharacterized LOC111583999",-1.41383773104935,1.88578823428738,3.99572158337428,8.84838465143848
2.85375409064526,7.22878955186598,5.27136581123313e-06,3.29659340424911e-05,"111562989","LOC111562989_ENSAOCG00000008978","C-reactive protein-like","C-reactive protein-like",-1.12777999081203,0.97266532468674,4.73484285660378,4.81560837667998
2.7994837280296,6.96191272295119,7.56184176759555e-32,5.81667671394546e-29,"129347240","LOC129347240","glutathione S-transferase A-like.13",NA,1.63807224496828,2.28793882977124,3.31102862628796,17.3715309239214
2.77613876984846,6.85016514788369,5.99606388637755e-24,1.291432239848e-21,"111580318","LOC111580318","UDP-glucuronosyltransferase 2A1-like.6",NA,3.16483355004376,2.11764515952391,3.434632380173,13.3823846940622
2.77371583837192,6.83867030609013,1.40530255902234e-24,3.51946587397944e-22,"111565639","LOC111565639_ENSAOCG00000017465","cytochrome P450 2F2-like.6","cytochrome P450 2F2-like.8",2.32690003181702,2.13039088917012,3.41704078757373,13.6859666075032
2.73754878527385,6.66936212657924,7.30824667239026e-37,1.74894463144379e-33,"111564375","alox5a","arachidonate 5-lipoxygenase a","arachidonate 5-lipoxygenase",2.43581103916073,2.30658774381633,3.16850982673137,20.1635854162459
2.72023408772431,6.58979729376042,0.00818584937447466,0.0200775109238596,"129348492","LOC129348492","RING finger protein 11-like",NA,-1.40205286415889,-0.479482557584522,5.91995073303314,2.69860090679868
2.70940871023656,6.54053527522812,8.74763627117649e-05,0.000390722915820405,"129348132","LOC129348132","uncharacterized LOC129348132",NA,-2.0866385133053,0.607201920612816,4.81161549986031,4.09112729007737
2.69729256110446,6.48583607484103,1.1405804831219e-05,6.4885954689592e-05,"111565654","LOC111565654","cytochrome P450 2J6-like.3",NA,0.866598723207956,0.845337929725341,4.54924719248358,4.62318865114267
2.69556021141192,6.47805272997249,8.50819364716618e-33,7.63539478219438e-30,"111569897","pglyrp5","peptidoglycan recognition protein 5","peptidoglycan-recognition protein SC2-like",1.5271055656329,2.21706977695794,3.1740506458659,17.8821478381903
2.67669165597937,6.39387994695328,1.98824449020812e-08,2.33621439334983e-07,"111570025","ciita","class II, major histocompatibility complex, transactivator",NA,0.240408141145764,1.28546306391604,4.06792024804271,6.10722266754266
2.64282749092258,6.2455450902712,6.8096166523235e-25,1.78860394460663e-22,"111571213","LOC111571213_ENSAOCG00000012656","prelamin-A/C-like","prelamin-A/C-like",2.44808989487497,2.03661068070215,3.249044301143,13.8383638308732
2.6366707315969,6.21894876528779,8.53304010315134e-11,1.72405832778305e-09,"111572425","LOC111572425","UDP-glucuronosyltransferase 2A1-like.2",NA,0.734139457872566,1.48495337316325,3.78838809003054,7.26697874329833
2.63367597060263,6.20605279780374,0.000153124770341204,0.000638899903837437,"111566772","LOC111566772_ENSAOCG00000013099","protein-glutamine gamma-glutamyltransferase 2-like","protein-glutamine gamma-glutamyltransferase 5-like.1",-1.25043890996226,0.510480469651915,4.75687147155335,3.93746095328406
2.60916254841302,6.10149402947362,9.24952669113792e-43,3.98432611747457e-39,"111579485","sult6b1","sulfotransferase family, cytosolic, 6b, member 1","sulfotransferase family 6B member 1",5.43362232077156,2.26088803991573,2.9574370569103,23.7806297946079
2.59816550995806,6.05516179691122,2.51794542451681e-19,2.68472814620015e-17,"111570949","LOC111570949","NACHT, LRR and PYD domains-containing protein 12-like.3",NA,0.796172618342101,1.86238450278111,3.333946517135,11.2088780501347
2.59691917008169,6.04993301986154,1.25242099042769e-35,2.07497256091012e-32,"111577442","LOC111577442_ENSAOCG00000017163","peroxisomal N(1)-acetyl-spermine/spermidine oxidase-like","peroxisomal N(1)-acetyl-spermine/spermidine oxidase-like",3.10428316024812,2.17319469430594,3.02064364585744,19.454442291354
2.58231036006351,5.98898018917797,2.91288396426967e-07,2.54101639621062e-06,"111571570","LOC111571570_ENSAOCG00000013773","L-rhamnose-binding lectin SML-like","L-rhamnose-binding lectin SML-like",1.943111553491,1.09306590591871,4.07155481420831,5.50410043631137
2.56769810802866,5.92862731112124,5.87916622695074e-14,2.31068398168002e-12,"129350181","LOC129350181","ankyrin repeat and SOCS box protein 2-like.2",NA,-1.36127049631858,1.63559822987875,3.49979798617857,8.74430734669591
2.54739907968672,5.84579435979153,5.71478550361992e-14,2.25844128765075e-12,"111588867","LOC111588867","uncharacterized LOC111588867",NA,1.09180634535368,1.62326740135002,3.47153075802342,8.74997946653808
2.46127102192377,5.50701684681997,4.71556702991649e-20,5.67395992683472e-18,"111577983","si:ch211-14a17.10","major antigen",NA,2.34376843949359,1.78459595761298,3.13794608623457,11.5457771198912
2.43927738736052,5.42370002320602,2.71439608252273e-23,5.51534554956364e-21,"111586280","LOC111586280_ENSAOCG00000010280","cytochrome P450 2J4-like.4","cytochrome P450 2J6-like.4",3.95076009373838,1.84679315089472,3.03176162382632,13.0685767786711
2.43711979116158,5.41559477011253,6.32073111436288e-22,1.02357824617404e-19,"111581740","LOC111581740_ENSAOCG00000015736","cytochrome P450 2F3-like","cytochrome P450 2G1-like",2.75953855836254,1.81429222161994,3.05994736070323,12.4208967605456
2.42767696075951,5.38026398417692,0.00685796545087995,0.017267577727502,"129348735","LOC129348735","uncharacterized LOC129348735",NA,-0.147602382707524,-0.362951945135504,5.21830586665452,2.76142156652989
2.4248905705087,5.36988268607977,8.35922405969642e-07,6.45301530074686e-06,"111572709","LOC111572709_PTCHD3","patched domain-containing protein 3-like","patched domain-containing protein 3-like",-0.993932070562646,0.961202122851478,3.88857901816592,5.25880907337696
2.42046559357203,5.35343762786238,2.7146780506176e-26,8.59834350797087e-24,"111582409","aqp8a.2_ENSAOCG00000010775","aquaporin 8a, tandem duplicate 2","aquaporin-8-like",3.40444359998081,1.89142934683377,2.94950184031028,14.5230351676147
2.39566095620526,5.26218130403429,2.6370476288121e-23,5.40921255517666e-21,"111567453","zgc:136870","uncharacterized LOC111567453","GTPase IMAP family member 4-like",1.37932724301659,1.81403735489008,2.97728455752044,13.0745646767671
2.38138627348959,5.21037161925469,1.18319281583317e-17,9.4035449695258e-16,"111575974","LOC111575974","microfibril-associated glycoprotein 4-like",NA,6.99791944709133,1.65727434950653,3.10549819747266,10.4392200174488
2.33432960363594,5.04316561566281,3.11685703052659e-18,2.72889702127975e-16,"111586176","LOC111586176_ENSAOCG00000013635","protein phosphatase 1 regulatory subunit 3C-B-like.1","protein phosphatase 1 regulatory subunit 3C-like.1",3.21241567303033,1.64216894448709,3.02649026278478,10.7053080882549
2.32356778760059,5.00568597248513,6.00875226437614e-28,2.39660196796543e-25,"111576135","LOC111576135_gstr","glutathione S-transferase A-like.12","glutathione S-transferase A-like.12",5.0782395524815,1.84302253577239,2.80411303942879,15.3484654396525
2.31761299777313,4.98506735588935,8.36700271101843e-13,2.67371668234295e-11,"129349699","LOC129349699","uncharacterized LOC129349699",NA,-0.758210229115007,1.42166232476853,3.21356367077773,8.21108828768863
2.25277473265748,4.76598606281451,2.00514941860575e-06,1.39611897825741e-05,"129348133","LOC129348133","uncharacterized LOC129348133",NA,0.496716335121267,0.836973658208641,3.66857580710631,5.05079140568485
2.24179767719936,4.72986064127181,6.33319001625033e-16,3.72689198278687e-14,"111572333","LOC111572333_ENSAOCG00000015862","organic cation/carnitine transporter 2-like.2","solute carrier family 22 member 5-like.4",0.814310779780878,1.50416911709754,2.97942623730119,9.64722916506239
2.22005037843191,4.65909703715515,1.84562432384049e-15,9.69537967972596e-14,"111568222","si:ch211-149e23.4","uncharacterized si:ch211-149e23.4",NA,-0.2659940585533,1.47310423034599,2.96699652651783,9.43446856475286
2.20999382486449,4.62673293187667,8.70617268686111e-14,3.25544353002803e-12,"111586390","LOC111586390_SLC22A7","solute carrier family 22 member 7-like.3","solute carrier family 22 member 7-like",0.00381244090964737,1.40047026250405,3.01951738722493,8.66573631783877
2.19034447220584,4.56414451388442,5.12147868519392e-44,2.75766019804267e-40,"111564134","pkp1b_ENSAOCG00000000959","plakophilin 1b","plakophilin-1-like",5.49899096637843,1.90776658042452,2.47292236398716,24.604703978593
2.18333037713285,4.54200840932615,1.1136807454724e-34,1.48717721628732e-31,"111579709","LOC111579709_ENSAOCG00000001463","cytochrome c-a","cytochrome c-a",4.55245871792062,1.81701107643065,2.54964967783505,18.9192344801463
2.16611213466364,4.48812275161304,0.0221713436236886,0.0470052563211936,"111586473","LOC111586473","macrophage mannose receptor 1-like.3",NA,-1.79663002964046,-0.792628734376522,5.1248530037038,2.32390252930145
2.14644920335737,4.42736772088316,2.64542115426963e-21,3.7484921592539e-19,"111578060","LOC111578060","cuticle collagen 36-like",NA,7.35061408409535,1.58470195513046,2.70819645158428,12.128960047422
2.11135300980661,4.32096339681025,8.05355566705379e-17,5.57741099540208e-15,"111586940","LOC111586940_cryz","quinone oxidoreductase-like","quinone oxidoreductase-like.1",3.4962459321842,1.4449760279212,2.77772999169203,10.0573778931078
2.1041059510479,4.29931241991427,4.75545629151042e-19,4.76386128402565e-17,"111584980","LOC111584980_ENSAOCG00000009698","natterin-3-like.2","natterin-3-like.2",4.71950135932612,1.5013822050815,2.7068296970143,11.0813636388086
2.08993762141509,4.25729665079858,1.73570016735891e-16,1.13627690591417e-14,"111588587","LOC111588587","collagen alpha-1(X) chain-like",NA,2.9625846816498,1.42014782030077,2.75972742252941,9.90464005868767
2.08374247255507,4.23905437609606,1.1132081586678e-21,1.65790627644942e-19,"111569306","LOC111569306_rdh12l","retinol dehydrogenase 12-like","retinol dehydrogenase 12-like.4",4.13919561638669,1.54622080016489,2.62126414494525,12.3052932705962
2.08327947012172,4.23769415960748,3.97019600076726e-31,2.75838972466211e-28,"111572207","LOC111572207_ENSAOCG00000019249","glutathione S-transferase A-like.5","glutathione S-transferase A-like.5",3.7792602808329,1.69403422103182,2.47252471921162,16.9890117828203
2.04737538943266,4.13353295661977,2.34004441398475e-08,2.69230109980788e-07,"111575727","LOC111575727_ENSAOCG00000015751","transmembrane serine protease 15","transmembrane serine protease 15",2.76366691219861,0.976954140432678,3.11779663843263,6.07136944705132
2.04098123728726,4.11525331103419,1.72500580854925e-20,2.17270029851075e-18,"111574891","LOC111574891_alpi.2","alkaline phosphatase-like","alkaline phosphatase-like",4.50521965254109,1.48955124011749,2.59241123445704,11.7487734304151
1.98745691968221,3.96537393804833,4.10398812741052e-24,9.20746836335081e-22,"111576129","LOC111576129_gstr","glutathione S-transferase A-like.7","glutathione S-transferase A-like.9",2.54206525241221,1.51880799258728,2.45610584677715,13.4615168918452
1.98022774301518,3.94555361165491,1.25208843716754e-16,8.34095802723896e-15,"111575403","LOC111575403_FBXO40","F-box only protein 40","F-box protein 40",2.26557734238164,1.34973304571814,2.61072244031222,9.96959707144497
1.97781329301032,3.93895597693942,5.83840856182982e-09,7.80072230798329e-08,"129350835","LOC129350835","barrier-to-autointegration factor-like.1",NA,-1.23500633813894,0.992898953385483,2.96272763263516,6.37427410511023
1.96777884092432,3.91165420770481,0.00550553680244345,0.0143210448853897,"111572849","saa","serum amyloid A","serum amyloid A-5 protein-like",1.11749663317048,-0.233128111818453,4.1686857936671,2.83803997253372
1.96245570376879,3.89724790261935,7.4780795401853e-26,2.3008982448073e-23,"111581317","LOC111581317","E3 ubiquitin-protein ligase TRIM35-like.2",NA,3.12753928018264,1.5270329493905,2.39787845814708,14.306475187534
1.90597657876115,3.74762494668206,5.14768466257524e-19,5.10925494297445e-17,"111572534","LOC111572534","NLR family CARD domain-containing protein 3-like.4",NA,0.93358380852964,1.35922366881653,2.45272948870578,11.0654826214289
1.9011219729698,3.73503554571518,1.60896006330904e-05,8.79760899810867e-05,"111586282","LOC111586282_ENSAOCG00000010031","cytochrome P450 2J4-like.5","cytochrome P450 2J6-like.3",3.46731388426084,0.57071000958489,3.23153393635471,4.53594462344705
1.88239817495852,3.68687415898145,0.0184353871927411,0.0401355877243766,"129348062","LOC129348062","mamu class II histocompatibility antigen, DR alpha chain-like.1",NA,0.264481877284271,-0.611114703246685,4.37591105316373,2.39631431175294
1.87674386149977,3.67245257792277,5.00470051318475e-24,1.08880040053508e-21,"111569929","cusr","Copper-only SOD repeat protein",NA,5.65683401612032,1.43283524202941,2.32065248097012,13.420086964027
1.87450738526698,3.66676392594649,1.1692010767171e-11,2.95566347304378e-10,"111582297","LOC111582297_ENSAOCG00000014922","cytochrome P450 2F2-like.14","cytochrome P450 2F2-like.2",1.26661999133526,1.09932326135027,2.6496915091837,7.67584489121652
1.86990420731481,3.65508310108206,0.00608049328243212,0.0155888185117275,"118470652","LOC118470652","uncharacterized LOC118470652",NA,-2.60642951575999,-0.247246259273216,3.98705467390283,2.80357086564609
1.85489435448749,3.61725261677209,2.18209451354334e-28,9.59141870055029e-26,"111567763","LOC111567763_ENSAOCG00000008595","probable methyltransferase-like protein 24","methyltransferase-like protein 24",1.97893318552501,1.47675901289692,2.23302969607806,15.5709752272677
1.85173004567261,3.60932747622805,1.25913348008629e-13,4.58869998208098e-12,"111562997","LOC111562997_ENSAOCG00000017806","liver carboxylesterase 1-like","carboxylesterase2-like.1",5.99749771860503,1.16760375937874,2.53585633196649,8.59182256663609
1.83226461796227,3.56095602079863,0.000185872592390773,0.000757631320006147,"118470147","cd74b","CD74 molecule, major histocompatibility complex, class II invariant chain b",NA,3.82424184739836,0.334575824631257,3.32995341129329,3.88338562863435
1.82555700405963,3.54443826953427,1.28747612555868e-20,1.66045873007682e-18,"111562605","apoea","apolipoprotein Ea","ApoEa",7.33443635427866,1.33480157116593,2.31631243695334,11.8079413252881
1.82554739943098,3.54441467279408,0.000226486077138148,0.000901507508667793,"111575767","LOC111575767","ADP-ribosylation factor 4-like",NA,-0.795029758298715,0.311660162292472,3.33943463656948,3.82774933748759
1.82305409754628,3.53829441625178,7.96425213756024e-09,1.0259214266673e-07,"111576118","LOC111576118_ENSAOCG00000003323","sodium-dependent neutral amino acid transporter B(0)AT1-like","sodium-dependent neutral amino acid transporter B(0)AT1-like.2",0.875181906875355,0.905526539436374,2.7405816556562,6.307021956722
1.81736568283571,3.52437071268734,0.00527902502390745,0.0138236645550053,"111563420","LOC111563420_ENSAOCG00000019860","mamu class II histocompatibility antigen, DR alpha chain-like","mamu class II histocompatibility antigen, DR alpha chain-like",2.66742310391585,-0.204981164375374,3.8397125300468,2.85253239178617
1.8167811968603,3.52294315663847,1.24264829669383e-28,6.05762809803953e-26,"111586281","LOC111586281_ENSAOCG00000010003","cytochrome P450 2J2-like.6","cytochrome P450 2J1-like.1",5.45121540208722,1.44934800588941,2.18421438783119,15.6952466852343
1.81012782482962,3.50673357307528,5.82431077675842e-20,6.93060803921673e-18,"111586199","LOC111586199_SLCO4A1","solute carrier organic anion transporter family member 4A1-like.1","solute carrier organic anion transporter family member 4A1-like",3.02777428071339,1.31063007663934,2.3096255730199,11.503224974082
1.80898092845372,3.50394693992634,7.36058611011311e-10,1.20373806863794e-08,"111579626","LOC111579626","N-acetyltransferase 8-like.1",NA,-0.374872358925131,0.966584326241377,2.65137753066606,6.81649759425733
1.79808528653065,3.47758381553972,3.95843410673214e-36,7.75061398098152e-33,"111576800","LOC111576800_itga6b","integrin alpha-6-like","integrin alpha-6-like.1",7.17653044042611,1.50894728730952,2.08722328575178,19.7400850643743
1.76990673668759,3.4103190991786,1.62467700132301e-19,1.78532108441301e-17,"111565748","c1h15orf48_zgc:153317","chromosome 1 C15orf48 homolog","chromosome unknown C15orf48 homolog",1.39587320814464,1.27258575306744,2.26722772030773,11.2968536448063
1.76773197316006,3.40518215051211,2.50315536766561e-09,3.61589271017987e-08,"111585813","si:ch73-206d17.1","tyrosine-protein kinase STYK1",NA,1.49775102304221,0.91188564760179,2.62357829871834,6.55638624789234
1.76352462112972,3.39526603574274,5.70212052122278e-10,9.63989574459154e-09,"111565970","LOC111565970_CSTA","cystatin-B-like.1","cystatin-A1-like",5.73292648978009,0.948731185470844,2.57831805678859,6.87033493603507
1.75470976506856,3.37458423247539,0.00440101092492982,0.0118441800951066,"111569497","cd74a","CD74 molecule, major histocompatibility complex, class II invariant chain a","CD74 molecule",4.50820209769804,-0.156262087698095,3.66568161783521,2.91470701826876
1.74616538820674,3.35465728816193,1.30623241455389e-15,7.1953027479953e-14,"111581723","LOC111581723_ENSAOCG00000016369","cytochrome P450 2A10-like","cytochrome P450 2F3-like",1.67309742335326,1.16291160445089,2.32941917196259,9.50324037965089
1.74438707167699,3.35052476734617,1.1151038761397e-21,1.65790627644942e-19,"129347254","LOC129347254","UDP-glucuronosyltransferase 2A2-like.6",NA,4.66189677533669,1.2943927359179,2.19438140743609,12.3049461116204
1.74082437638548,3.34226094742587,4.93848544570381e-17,3.53372423686275e-15,"111577049","LOC111577049_prss1","trypsin-3-like.1","trypsinogen1b loop3",0.517910707998273,1.19665722351358,2.28499152925738,10.1546869653534
1.74055652422536,3.34164047761804,6.30250467186741e-05,0.0002933722619898,"111578045","LOC111578045_zgc:174938","1-phosphatidylinositol phosphodiesterase-like","1-phosphatidylinositol phosphodiesterase-like",4.79865017340419,0.418617076965904,3.06249597148482,4.17946288730725
1.74042940815445,3.34134605815802,9.5183299530264e-38,2.56257238160353e-34,"111579003","LOC111579003_ENSAOCG00000005196","desmoglein-2-like protein","desmoglein-2-like",5.48369050078935,1.4733074858258,2.00755133048311,20.6819167448344
1.73611637381235,3.33137179505821,9.69208152061461e-08,9.49718161014548e-07,"111566567","slc6a14","solute carrier family 6 member 14",NA,-1.1084890315472,0.778483529209071,2.69374921841563,5.75471346102585
1.73481065286474,3.32835807838173,3.53493205077584e-16,2.20044411877486e-14,"111563137","si:dkey-247m21.3","5-hydroxytryptamine receptor 4",NA,0.285025918687707,1.17077797510161,2.29884333062786,9.76318948786773
1.72646206220704,3.30915315009647,1.63969232156603e-07,1.52157230598402e-06,"111575813","LOC111575813","coagulation factor XIII B chain-like",NA,3.14125198331309,0.75402857423504,2.69889555017905,5.63561137585878
1.70620049387213,3.26300340718157,0.0231204912867021,0.0487059019300655,"111570193","LOC111570193_ENSAOCG00000007973","transcription factor PU.1-like","transcription factor PU.1-like",-2.22190265086425,-0.641171143760552,4.05357213150481,2.30723650482257
1.7028498091831,3.25543381784721,3.93603749468146e-23,7.84947921856012e-21,"111581721","LOC111581721_ENSAOCG00000015976","cytochrome P450 2A5-like","cytochrome P450 2F2-like.3",3.81680308473456,1.28679063929623,2.11890897906997,12.9916750911869
1.70038755287704,3.249882487956,0.00130044142501863,0.00415254372306172,"111563419","LOC111563419_ENSAOCG00000019889","H-2 class II histocompatibility antigen, E-S beta chain","H-2 class II histocompatibility antigen, E-S beta chain-like",3.09059662594574,0.069857290682894,3.33091781507119,3.31026648937052
1.69888796864737,3.24650620922526,8.25157187810274e-09,1.05976359636599e-07,"111565975","si:ch211-161h7.5","uncharacterized si:ch211-161h7.5",NA,1.49263740821712,0.842807899629504,2.55496803766524,6.29932852819281
1.68913346444126,3.2246296242764,1.50745228496828e-24,3.68948946745988e-22,"118470814","ccl27a","chemokine (C-C motif) ligand 27a",NA,6.17462528977957,1.29694022667154,2.08132670221098,13.6712356357762
1.68685693366421,3.21954526514001,5.30827824044812e-18,4.44862633240357e-16,"111579257","nme4","NME/NM23 nucleoside diphosphate kinase 4","nucleoside diphosphate kinase, mitochondrial-like",3.45661319562945,1.18166590507232,2.1920479622561,10.599039850782
1.6804438507639,3.20526547112399,4.91904484054464e-27,1.79570148772289e-24,"111562427","LOC111562427","UDP-glucuronosyltransferase 2A1-like",NA,1.84536062069807,1.32222449907555,2.03866320245224,14.8908286519375
1.68028764448562,3.20491844318567,4.91949896637082e-24,1.0811853952826e-21,"111571811","dhrs13b.1","dehydrogenase/reductase (SDR family) member 13b.1","dehydrogenase/reductase SDR family member 13-like.4",5.28767496613828,1.28295317101793,2.0776221179533,13.4236707384142
1.67592823001032,3.19524870727492,5.48298514046562e-14,2.17852539734078e-12,"111575254","rab44_ENSAOCG00000000679","RAB44, member RAS oncogene family","uncharacterized LOC111575254",5.46274416107626,1.06851892260532,2.28333753741532,8.75826089616227
1.66792760287084,3.17757813958317,9.26188969095664e-16,5.20842245858549e-14,"111587842","LOC111587842_ENSAOCG00000020073","cytochrome c oxidase subunit 6A, mitochondrial.1","cytochrome c oxidase subunit 6A, mitochondrial.1",4.74787442178032,1.11478754264103,2.22106766310066,9.57163187529376
1.66009340557354,3.16036985521516,2.63590304275257e-10,4.80358427041975e-09,"111575821","LOC111575821","C4b-binding protein-like",NA,2.16397927163695,0.91074856624742,2.40943824489965,7.03225657365827
1.65207247783041,3.14284795248318,2.37789537288948e-08,2.73001655337386e-07,"111562400","LOC111562400","putative ferric-chelate reductase 1",NA,3.07566320947124,0.787822571412777,2.51632238424804,6.0678335522298
1.64495677210353,3.12738486435659,4.4653009820536e-33,4.37152966143048e-30,"111570550","itgb4","integrin, beta 4","integrin subunit beta 4",7.59668959294999,1.35542344303097,1.93449010117609,18.0343224150827
1.64487941847235,3.12721718644602,4.76521565257329e-08,5.05084794282022e-07,"111580214","LOC111580214","uncharacterized LOC111580214",NA,2.02332632767871,0.761982267382374,2.52777656956234,5.91381664175466
1.64211954207148,3.12124053675074,0.00791828922710817,0.019524225915679,"129348531","LOC129348531","uncharacterized LOC129348531",NA,2.58533078567328,-0.280988611191879,3.56522769533483,2.71047224388871
1.64011915676931,3.11691574399008,2.30612674142384e-18,2.09575349184754e-16,"111576725","lamb3","laminin subunit beta 3",NA,6.04283680681009,1.15651938155488,2.12371893198375,10.7654754501883
1.64011188902186,3.11690004219673,2.21931614086668e-15,1.14902959235544e-13,"118469499","LOC118469499","uncharacterized LOC118469499",NA,0.316376066318708,1.08613435253398,2.19408942550974,9.3977789623004
